basket_number,uid,Date,index_in_user,split
174,10124,2019-03-31 16:17:00,4,train
175,10124,2019-04-14 15:36:00,5,train
176,10127,2019-03-19 11:55:00,0,train
177,10127,2019-07-15 13:00:00,1,train
178,10128,2019-03-26 12:33:00,0,train
179,10128,2019-05-13 16:44:00,1,train
180,10128,2019-11-24 11:48:00,2,test
181,10130,2019-12-23 20:55:00,0,train
182,10135,2019-04-19 13:32:00,0,train
183,10137,2019-04-02 19:56:00,0,train
184,10137,2019-07-14 14:07:00,1,train
185,10140,2019-05-07 10:04:00,0,train
186,10142,2019-04-23 17:03:00,0,train
187,10142,2019-05-12 14:58:00,1,test
188,10142,2019-07-03 19:10:00,2,train
189,10142,2019-07-29 17:26:00,3,train
190,10142,2019-08-01 21:51:00,4,test
191,10142,2019-08-21 16:41:00,5,train
192,10142,2019-09-01 19:48:00,6,test
193,10142,2019-10-01 19:06:00,7,train
194,10142,2019-10-11 18:30:00,8,train
195,10142,2019-10-14 12:59:00,9,train
196,10142,2019-11-03 21:28:00,10,train
197,10142,2019-11-12 15:42:00,11,train
198,10142,2019-11-12 18:48:00,12,train
199,10142,2019-11-25 17:33:00,13,train
200,10142,2019-12-03 16:59:00,14,train
201,10144,2019-05-27 09:58:00,0,train
202,10147,2019-03-17 15:40:00,0,train
203,10147,2019-03-24 15:57:00,1,train
204,10147,2019-03-31 15:39:00,2,train
205,10147,2019-04-09 15:44:00,3,train
206,10147,2019-04-10 17:04:00,4,train
207,10147,2019-04-16 15:56:00,5,train
208,10147,2019-05-05 15:50:00,6,train
209,10147,2019-05-21 15:49:00,7,train
210,10147,2019-05-28 15:38:00,8,train
211,10147,2019-06-18 15:46:00,9,train
212,10147,2019-06-23 14:58:00,10,train
213,10147,2019-07-02 16:03:00,11,test
214,10147,2019-07-02 20:49:00,12,test
215,10147,2019-07-12 18:47:00,13,train
216,10147,2019-07-15 13:35:00,14,train
217,10147,2019-07-22 16:27:00,15,train
218,10147,2019-07-28 15:13:00,16,train
219,10147,2019-08-02 16:12:00,17,train
220,10147,2019-08-07 17:15:00,18,train
221,10147,2019-08-11 13:36:00,19,train
222,10147,2019-08-19 16:41:00,20,train
223,10147,2019-09-01 14:42:00,21,train
224,10147,2019-09-08 10:54:00,22,test
225,10147,2019-09-10 15:59:00,23,train
226,10147,2019-09-17 16:29:00,24,train
227,10147,2019-09-29 10:34:00,25,train
228,10147,2019-10-06 15:52:00,26,train
229,10147,2019-10-07 16:29:00,27,train
230,10147,2019-10-08 15:30:00,28,train
231,10147,2019-10-22 15:49:00,29,train
232,10147,2019-10-31 15:24:00,30,train
233,10147,2019-11-01 15:32:00,31,train
234,10147,2019-11-06 18:37:00,32,train
235,10147,2019-11-17 14:15:00,33,train
236,10147,2019-11-22 15:44:00,34,test
237,10147,2019-11-29 16:08:00,35,train
238,10147,2019-12-01 13:49:00,36,train
239,10147,2019-12-03 16:33:00,37,train
240,10147,2019-12-04 16:06:00,38,train
241,10147,2019-12-15 14:57:00,39,test
242,10147,2019-12-23 16:09:00,40,train
243,10147,2019-12-26 17:48:00,41,train
244,10147,2020-01-02 16:36:00,42,test
245,10147,2020-01-09 19:06:00,43,train
246,10147,2020-01-10 16:35:00,44,train
247,10147,2020-01-17 14:23:00,45,test
248,10147,2020-01-21 16:47:00,46,test
249,10147,2020-01-27 16:36:00,47,train
250,10147,2020-01-28 15:22:00,48,train
251,10147,2020-02-02 14:27:00,49,train
252,10147,2020-02-11 15:31:00,50,test
253,10147,2020-02-14 10:59:00,51,train
254,10147,2020-02-21 14:44:00,52,test
255,10147,2020-02-21 16:40:00,53,test
256,10149,2019-04-07 12:44:00,0,train
257,10149,2019-07-01 19:16:00,1,train
258,10150,2019-05-03 14:48:00,0,train
259,10150,2019-07-17 15:43:00,1,train
260,10150,2019-08-02 20:51:00,2,train
261,10150,2019-10-10 15:24:00,3,train
262,10150,2019-11-03 19:03:00,4,train
263,10150,2019-11-10 14:31:00,5,train
264,10150,2020-01-02 15:23:00,6,test
265,10150,2020-01-07 15:58:00,7,train
266,10150,2020-01-16 13:03:00,8,train
267,10150,2020-02-02 14:13:00,9,test
268,10150,2020-02-11 14:39:00,10,train
269,10151,2019-03-08 17:26:00,0,train
270,10151,2019-03-10 16:23:00,1,train
271,10151,2019-03-14 22:53:00,2,train
272,10151,2019-03-22 08:42:00,3,train
273,10151,2019-05-31 18:32:00,4,train
274,10151,2019-06-04 08:26:00,5,test
275,10151,2019-07-18 16:26:00,6,test
276,10151,2019-10-07 16:28:00,7,train
277,10151,2019-11-05 14:14:00,8,train
278,10151,2019-12-03 19:38:00,9,train
279,10151,2020-01-14 08:49:00,10,test
280,10151,2020-01-23 18:00:00,11,train
281,10151,2020-01-30 18:11:00,12,train
282,10151,2020-02-17 15:26:00,13,train
283,10156,2019-03-27 18:23:00,0,train
284,10156,2019-06-24 12:39:00,1,test
285,10156,2019-09-20 12:17:00,2,train
286,10156,2019-11-04 12:33:00,3,train
287,10158,2019-04-02 11:21:00,0,test
288,10158,2019-06-07 14:43:00,1,train
289,10158,2019-11-19 09:48:00,2,train
290,10161,2019-04-12 20:08:00,0,train
291,10161,2019-07-12 22:19:00,1,train
292,10167,2020-01-26 14:51:00,0,train
293,10170,2019-10-11 09:17:00,0,train
294,10170,2019-10-18 21:07:00,1,test
295,10170,2019-11-13 17:14:00,2,train
296,10170,2020-01-05 13:22:00,3,train
297,10170,2020-01-23 20:18:00,4,train
298,10175,2019-09-09 16:27:00,0,train
299,10175,2019-09-18 18:26:00,1,train
300,10175,2019-11-13 17:06:00,2,train
301,10175,2020-01-12 19:50:00,3,test
302,10176,2019-06-12 12:42:00,0,train
303,10179,2019-03-24 17:12:00,0,train
304,10180,2019-05-29 14:29:00,0,train
305,10182,2019-08-27 17:32:00,0,train
306,10186,2019-04-07 13:50:00,0,train
307,10186,2019-05-15 14:43:00,1,train
308,10186,2019-07-18 14:47:00,2,train
309,10186,2019-07-23 13:02:00,3,test
310,10186,2019-08-02 12:42:00,4,train
311,10186,2019-08-23 15:00:00,5,test
312,10186,2019-08-28 14:43:00,6,train
313,10186,2019-09-19 11:14:00,7,train
314,10186,2019-10-07 16:20:00,8,train
315,10186,2019-11-29 13:28:00,9,train
316,10186,2019-12-12 17:26:00,10,train
317,10190,2019-06-14 15:55:00,0,train
318,10191,2019-05-02 16:20:00,0,train
319,10191,2019-06-17 17:11:00,1,train
320,10191,2019-07-16 11:29:00,2,train
321,10191,2019-08-27 17:33:00,3,train
322,10191,2019-10-07 19:09:00,4,train
323,10191,2019-10-24 18:15:00,5,test
324,10191,2019-11-12 17:58:00,6,train
325,10191,2019-12-01 15:51:00,7,train
326,10191,2019-12-11 17:51:00,8,train
327,10191,2020-01-19 17:09:00,9,test
328,10194,2019-10-04 18:38:00,0,train
329,10194,2019-10-06 17:08:00,1,train
330,10194,2019-10-10 18:17:00,2,train
331,10194,2019-10-11 17:35:00,3,test
332,10194,2019-10-27 17:19:00,4,train
333,10194,2019-10-27 17:25:00,5,train
334,10194,2019-10-30 17:33:00,6,test
335,10194,2019-11-03 15:47:00,7,test
336,10194,2019-11-06 16:35:00,8,train
337,10194,2019-11-08 17:50:00,9,test
338,10194,2019-11-13 18:18:00,10,train
339,10194,2019-11-22 16:32:00,11,train
340,10194,2019-11-24 18:22:00,12,train
341,10194,2019-11-27 18:44:00,13,train
342,10194,2019-12-26 14:49:00,14,train
343,10194,2019-12-30 18:10:00,15,test
344,10194,2019-12-31 18:58:00,16,train
345,10194,2020-01-07 18:16:00,17,train
346,10194,2020-01-10 17:01:00,18,train
347,10194,2020-01-15 16:48:00,19,train
348,10194,2020-01-17 17:20:00,20,train
349,10194,2020-01-24 18:01:00,21,train
350,10194,2020-01-26 14:41:00,22,train
351,10194,2020-01-26 14:46:00,23,train
352,10194,2020-01-30 17:55:00,24,train
353,10194,2020-02-07 17:07:00,25,test
354,10194,2020-02-09 16:41:00,26,train
355,10194,2020-02-16 11:27:00,27,train
356,10195,2019-09-26 15:51:00,0,train
357,10196,2019-04-28 12:42:00,0,train
358,10196,2019-05-26 17:05:00,1,train
359,10196,2019-08-11 13:46:00,2,test
360,10197,2019-09-29 16:52:00,0,train
361,10198,2019-05-05 16:50:00,0,test
362,10198,2019-07-26 17:47:00,1,train
363,10198,2019-11-01 11:40:00,2,train
364,10198,2019-11-19 10:57:00,3,train
365,10199,2019-08-26 11:56:00,0,train
366,10199,2019-09-01 10:53:00,1,train
367,10210,2019-05-31 18:19:00,0,train
368,10210,2019-06-28 16:18:00,1,test
369,10210,2019-10-24 16:10:00,2,train
370,10210,2020-01-21 15:11:00,3,train
371,10212,2019-06-06 16:57:00,0,train
372,10216,2019-12-30 20:10:00,0,train
373,10219,2019-03-25 19:26:00,0,train
374,10219,2019-04-03 16:57:00,1,test
375,10219,2019-04-15 21:42:00,2,train
376,10221,2019-03-13 17:05:00,0,train
377,10221,2019-04-08 17:40:00,1,test
378,10221,2019-10-31 13:15:00,2,train
379,10221,2019-11-06 16:38:00,3,train
380,10221,2019-12-13 18:10:00,4,train
381,10222,2019-03-26 13:02:00,0,test
382,10222,2019-04-16 12:58:00,1,train
383,10222,2019-04-25 12:39:00,2,train
384,10222,2019-05-14 12:54:00,3,train
385,10222,2019-05-16 13:46:00,4,train
386,10222,2019-05-28 13:13:00,5,train
387,10222,2019-06-18 12:34:00,6,train
388,10222,2019-07-17 12:40:00,7,train
389,10222,2019-08-09 13:40:00,8,train
390,10222,2019-08-16 08:17:00,9,train
391,10222,2019-08-19 13:32:00,10,train
392,10222,2019-08-26 13:22:00,11,test
393,10222,2019-08-28 12:33:00,12,test
394,10222,2019-09-04 13:40:00,13,train
395,10222,2019-11-06 12:49:00,14,test
396,10222,2019-12-10 13:18:00,15,train
397,10222,2019-12-23 08:17:00,16,train
398,10222,2020-02-04 12:36:00,17,train
399,10222,2020-02-10 12:45:00,18,train
400,10224,2019-05-26 11:43:00,0,train
401,10225,2019-05-07 09:28:00,0,train
402,10226,2019-03-04 18:28:00,0,train
403,10226,2019-03-06 15:32:00,1,train
404,10226,2019-03-12 15:50:00,2,train
405,10226,2019-03-14 13:24:00,3,train
406,10226,2019-03-18 17:40:00,4,train
407,10226,2019-04-10 16:10:00,5,train
408,10226,2019-04-15 08:46:00,6,train
409,10226,2019-04-28 12:33:00,7,train
410,10226,2019-05-01 14:09:00,8,train
411,10226,2019-05-01 16:28:00,9,train
412,10226,2019-05-21 11:09:00,10,test
413,10226,2019-05-23 12:33:00,11,train
414,10226,2019-05-24 15:37:00,12,train
415,10226,2019-06-27 14:53:00,13,test
416,10226,2019-07-01 11:41:00,14,train
417,10226,2019-07-05 09:34:00,15,train
418,10226,2019-07-17 16:58:00,16,train
419,10226,2019-08-02 17:10:00,17,train
420,10226,2019-08-05 11:07:00,18,train
421,10226,2019-08-08 13:42:00,19,train
422,10226,2019-08-21 19:07:00,20,test
423,10226,2019-08-25 14:02:00,21,test
424,10226,2019-08-26 15:43:00,22,train
425,10226,2019-09-03 12:44:00,23,train
426,10226,2019-09-10 09:19:00,24,train
427,10226,2019-10-06 19:00:00,25,train
428,10226,2019-10-27 18:41:00,26,test
429,10226,2019-11-04 18:16:00,27,test
430,10226,2019-11-22 09:00:00,28,train
431,10226,2019-12-01 12:51:00,29,train
432,10226,2019-12-10 14:45:00,30,train
433,10226,2020-01-20 09:52:00,31,test
434,10226,2020-02-04 13:03:00,32,train
435,10226,2020-02-20 14:56:00,33,train
436,10231,2020-02-02 11:56:00,0,train
437,10237,2019-05-26 22:13:00,0,train
438,10239,2019-03-29 18:43:00,0,train
439,10239,2019-04-08 18:17:00,1,train
440,10239,2019-04-10 18:40:00,2,train
441,10239,2019-05-05 19:22:00,3,train
442,10239,2019-06-11 18:02:00,4,test
443,10239,2019-06-17 20:57:00,5,train
444,10239,2019-07-08 18:22:00,6,train
445,10239,2019-07-08 18:26:00,7,train
446,10239,2019-08-20 16:08:00,8,train
447,10239,2019-09-12 17:40:00,9,train
448,10239,2019-09-20 19:52:00,10,train
449,10239,2019-09-24 13:38:00,11,train
450,10239,2019-10-09 14:31:00,12,train
451,10239,2019-10-11 20:12:00,13,test
452,10239,2019-10-21 15:51:00,14,train
453,10239,2019-11-10 20:08:00,15,train
454,10239,2019-12-08 13:08:00,16,train
455,10239,2019-12-10 17:41:00,17,train
456,10239,2019-12-16 17:17:00,18,train
457,10239,2020-01-08 16:15:00,19,train
458,10239,2020-01-12 19:40:00,20,train
459,10239,2020-01-21 16:59:00,21,test
460,10239,2020-01-28 17:08:00,22,train
461,10239,2020-02-10 18:27:00,23,test
462,10239,2020-02-16 17:25:00,24,test
463,10242,2019-05-02 18:16:00,0,train
464,10242,2019-05-24 15:34:00,1,train
465,10242,2019-08-20 16:52:00,2,train
466,10242,2019-09-09 17:55:00,3,train
467,10242,2019-11-11 15:54:00,4,train
468,10242,2019-12-02 18:09:00,5,test
469,10242,2019-12-06 16:45:00,6,train
470,10245,2019-11-04 08:58:00,0,train
471,10248,2019-06-03 17:37:00,0,train
472,10250,2019-04-24 22:05:00,0,train
473,10250,2019-06-23 21:15:00,1,test
474,10250,2019-08-22 18:52:00,2,train
475,10251,2019-07-19 12:18:00,0,train
476,10253,2019-03-13 14:47:00,0,train
477,10253,2019-06-14 20:16:00,1,train
478,10253,2019-11-27 18:11:00,2,test
479,10253,2019-11-29 21:04:00,3,train
480,10256,2019-03-13 17:13:00,0,train
481,10256,2019-04-26 14:49:00,1,test
482,10256,2019-05-08 20:13:00,2,train
483,10256,2019-05-08 20:21:00,3,test
484,10256,2019-05-21 14:01:00,4,train
485,10256,2019-06-06 12:22:00,5,train
486,10256,2019-07-04 09:19:00,6,train
487,10256,2019-07-05 21:33:00,7,train
488,10256,2019-08-04 14:11:00,8,train
489,10256,2019-08-25 09:18:00,9,train
490,10256,2019-08-27 13:24:00,10,train
491,10256,2019-08-29 20:38:00,11,train
492,10256,2019-11-08 20:46:00,12,train
493,10256,2019-12-18 13:38:00,13,train
494,10256,2019-12-18 13:39:00,14,train
495,10256,2020-01-12 19:01:00,15,train
496,10256,2020-01-12 19:09:00,16,train
497,10256,2020-01-19 15:56:00,17,train
498,10256,2020-01-20 11:52:00,18,train
499,10256,2020-01-21 15:35:00,19,test
500,10256,2020-02-04 12:34:00,20,train
501,10256,2020-02-07 20:43:00,21,test
502,10259,2020-02-05 15:33:00,0,train
503,10261,2019-08-04 22:08:00,0,train
504,10262,2020-01-02 21:23:00,0,train
505,10262,2020-01-12 19:20:00,1,train
506,10265,2019-03-07 12:36:00,0,train
507,10265,2019-03-12 16:47:00,1,train
508,10265,2019-04-09 15:29:00,2,test
509,10265,2019-04-17 17:03:00,3,train
510,10265,2019-04-25 16:50:00,4,train
511,10265,2019-05-17 13:10:00,5,train
512,10265,2019-05-20 10:36:00,6,train
513,10265,2019-05-22 16:50:00,7,train
514,10265,2019-05-27 12:21:00,8,train
515,10265,2019-06-04 15:51:00,9,train
516,10265,2019-06-11 13:24:00,10,train
517,10265,2019-06-21 14:28:00,11,train
518,10265,2019-06-25 16:59:00,12,train
519,10265,2019-06-27 15:12:00,13,test
520,10265,2019-07-01 13:43:00,14,train
521,10265,2019-07-09 16:36:00,15,train
522,10265,2019-07-11 20:51:00,16,test
523,10265,2019-07-14 17:22:00,17,train
524,10265,2019-07-16 20:56:00,18,train
525,10265,2019-07-17 19:08:00,19,train
526,10265,2019-07-21 16:48:00,20,train
527,10265,2019-07-24 20:33:00,21,train
528,10265,2019-08-02 13:52:00,22,train
529,10265,2019-08-08 13:50:00,23,test
530,10265,2019-08-12 13:53:00,24,train
531,10265,2019-08-18 16:20:00,25,test
532,10265,2019-09-02 12:20:00,26,train
533,10265,2019-09-13 19:02:00,27,train
534,10265,2019-09-16 17:07:00,28,test
535,10265,2019-10-06 16:22:00,29,train
536,10265,2019-10-15 18:04:00,30,train
537,10265,2019-10-24 17:03:00,31,train
538,10265,2019-12-09 16:57:00,32,train
539,10265,2019-12-15 13:05:00,33,train
540,10265,2019-12-22 12:31:00,34,train
541,10265,2019-12-23 10:32:00,35,train
542,10265,2019-12-30 18:08:00,36,test
543,10265,2020-01-08 17:04:00,37,train
544,10265,2020-01-27 16:39:00,38,train
545,10265,2020-01-31 17:17:00,39,train
546,10265,2020-02-04 16:49:00,40,test
547,10265,2020-02-20 16:50:00,41,train
548,10266,2019-04-02 14:22:00,0,train
549,10266,2019-04-24 14:29:00,1,train
550,10266,2019-04-29 15:54:00,2,test
551,10267,2019-03-15 14:54:00,0,train
552,10267,2019-04-23 07:28:00,1,train
553,10267,2019-04-25 07:33:00,2,train
554,10267,2019-05-10 07:14:00,3,train
555,10267,2019-05-12 15:07:00,4,train
556,10267,2019-07-01 15:02:00,5,test
557,10267,2019-07-09 07:48:00,6,train
558,10267,2019-07-15 20:23:00,7,train
559,10267,2019-07-28 11:28:00,8,train
560,10267,2019-08-28 10:54:00,9,test
561,10267,2019-12-16 08:52:00,10,train
562,10268,2019-11-21 14:47:00,0,train
563,10269,2019-12-16 21:56:00,0,train
564,10270,2019-09-08 22:18:00,0,test
565,10270,2019-11-06 16:17:00,1,train
566,10270,2019-11-19 11:30:00,2,train
567,10270,2019-12-23 10:06:00,3,train
568,10271,2019-05-10 20:28:00,0,train
569,10271,2019-09-06 18:34:00,1,train
570,10272,2019-12-31 15:55:00,0,train
571,10272,2019-12-31 15:56:00,1,train
572,10273,2019-05-10 20:07:00,0,train
573,10274,2019-03-22 18:16:00,0,train
574,10274,2019-04-03 19:28:00,1,train
575,10274,2019-04-16 18:14:00,2,train
576,10274,2019-06-05 20:11:00,3,train
577,10274,2019-08-28 18:29:00,4,test
578,10277,2019-04-12 14:40:00,0,train
579,10278,2019-03-03 12:19:00,0,train
580,10278,2019-04-05 14:15:00,1,train
581,10278,2019-04-11 12:51:00,2,train
582,10278,2019-04-17 18:05:00,3,train
583,10278,2019-04-19 13:03:00,4,train
584,10278,2019-04-22 19:40:00,5,train
585,10278,2019-05-10 14:11:00,6,train
586,10278,2019-05-17 15:50:00,7,train
587,10278,2019-05-23 14:22:00,8,train
588,10278,2019-05-27 15:47:00,9,test
589,10278,2019-05-31 16:19:00,10,train
590,10278,2019-06-09 11:56:00,11,test
591,10278,2019-06-16 12:30:00,12,train
592,10278,2019-06-21 15:10:00,13,train
593,10278,2019-06-28 17:30:00,14,train
594,10278,2019-06-30 11:58:00,15,test
595,10278,2019-07-04 17:52:00,16,test
596,10278,2019-07-12 11:37:00,17,train
597,10278,2019-07-12 19:59:00,18,train
598,10278,2019-07-14 11:57:00,19,test
599,10278,2019-07-21 11:56:00,20,train
600,10278,2019-07-26 09:53:00,21,train
601,10278,2019-07-26 20:17:00,22,train
602,10278,2019-07-28 11:53:00,23,train
603,10278,2019-08-08 10:52:00,24,train
604,10278,2019-08-11 11:43:00,25,train
605,10278,2019-08-23 12:16:00,26,train
606,10278,2019-09-01 08:19:00,27,train
607,10278,2019-09-05 14:22:00,28,train
608,10278,2019-09-10 17:09:00,29,train
609,10278,2019-09-12 13:09:00,30,train
610,10278,2019-09-17 16:06:00,31,train
611,10278,2019-09-24 16:46:00,32,train
612,10278,2019-09-27 17:47:00,33,train
613,10278,2019-09-30 11:00:00,34,test
614,10278,2019-10-02 12:49:00,35,train
615,10278,2019-10-08 12:37:00,36,test
616,10278,2019-10-11 10:22:00,37,train
617,10278,2019-10-25 18:44:00,38,train
618,10278,2019-11-01 16:39:00,39,train
619,10278,2019-11-06 15:56:00,40,train
620,10278,2019-11-10 11:53:00,41,train
621,10278,2019-11-11 14:46:00,42,test
622,10278,2019-11-15 14:52:00,43,test
623,10278,2019-11-20 13:39:00,44,test
624,10278,2019-11-21 12:55:00,45,train
625,10278,2019-11-26 13:08:00,46,train
626,10278,2019-11-29 18:19:00,47,train
627,10278,2019-12-01 12:06:00,48,train
628,10278,2019-12-06 11:43:00,49,train
629,10278,2019-12-15 13:17:00,50,train
630,10278,2019-12-20 14:49:00,51,test
631,10278,2020-01-01 12:09:00,52,train
632,10278,2020-01-08 15:27:00,53,train
633,10278,2020-01-10 10:50:00,54,train
